11
1e3	0	-1.02e3	0	0	0	0	0.6	0.8	0.2	1e-2	0
2	20	32	0	-20	0	0	1	1	1	1e-20	0
9	0	50	0	0	0	0	1	0.2	1	1e-20	0
3	-20	32	0	5	30	20	1	0	1	1e-20	0
6	50	50	40	0	-10	30	0	0.3	0.8	1e-20	0
6	-40	30	40	0	50	0	0.6	0.3	0.1	1e-20	0
2	20	32	-100	-20	0	0	0	1	0	1e-20	0
9	200	150	-210	0	0	0	1	0.2	1	1e-20	0
3	-20	32	-80	50	30	20	0	0	1	1e-20	0
6	150	50	-10	0	-10	30	0	0.3	0.8	1e-20	0
6	-30	30	-30	0	50	0	0.6	0.3	0.1	1e-20	0
3	-220	42	-50	10	0	50	1	0	1	1e-20	0
6	-50	50	-150	10	-20	10	0	1	0.8	1e-20	0
6	30	130	-120	-20	30	0	0	0.3	0.1	1e-20	0
